DateTime,AEG,ARGX,ASML,AZN,BBVA,BCS,BP,BTI,BUD,DB,DEO,E,EQNR,ERIC,FMS,GSK,HSBC,IHG,ING,LYG,NGG,NOK,NVO,NVS,NWG,PHG,PSO,PUK,RELX,RIO,RTO,RYAAY,SAN,SAP,SHEL,SNN,SNY,TS,TTE,UBS,UL,VOD,WPP,GMAB,HLN
2018-05-18,158084.0,41002.0,140086.0,788378.0,171616.0,458896.0,632682.0,372073.0,163691.0,858296.0,38733.0,17156.0,174322.0,202318.0,3045.0,356244.0,164640.0,19611.0,181038.0,502054.0,72005.0,626298.0,255713.0,198849.0,27316.0,86062.0,41892.0,9454.0,81183.0,373969.0,836.0,23958.0,1076615.0,63093.0,727110.0,131924.0,107478.0,284421.0,65141.0,306846.0,60171.0,453064.0,12254.0,0.0,0.0
2018-05-21,178479.0,28999.0,134895.0,763435.0,150755.0,255897.0,900253.0,338120.0,244843.0,713292.0,56611.0,29253.0,188932.0,168181.0,5075.0,289630.0,119348.0,11596.0,165057.0,213667.0,59340.0,1147182.0,116232.0,302582.0,45497.0,85341.0,16973.0,15402.0,23665.0,301525.0,531.0,41521.0,737941.0,81148.0,380666.0,105976.0,204110.0,215085.0,225232.0,224510.0,47575.0,406311.0,16357.0,0.0,0.0
2018-05-22,327378.0,26408.0,57918.0,987929.0,348671.0,276252.0,1301950.0,413113.0,389542.0,762136.0,37535.0,27488.0,144413.0,1362886.0,15955.0,288193.0,152064.0,11315.0,990127.0,223377.0,54132.0,1258509.0,114980.0,82759.0,114806.0,62823.0,40025.0,28662.0,18454.0,705454.0,786.0,59308.0,791855.0,55053.0,562881.0,278280.0,96486.0,152238.0,296433.0,238426.0,49978.0,1136650.0,10594.0,0.0,0.0
2018-05-23,147296.0,19229.0,59349.0,420187.0,310867.0,265785.0,609766.0,207464.0,1107299.0,2098999.0,31108.0,41529.0,114908.0,596480.0,9642.0,490716.0,154192.0,13094.0,322742.0,396477.0,69946.0,1528404.0,207771.0,147868.0,160646.0,127332.0,21934.0,14566.0,23210.0,311547.0,2479.0,57460.0,981356.0,100260.0,443762.0,89613.0,80318.0,149311.0,271869.0,236467.0,66029.0,1051964.0,16997.0,0.0,0.0
2018-05-24,217150.0,15525.0,52106.0,522606.0,134540.0,521834.0,991756.0,354510.0,230763.0,1013119.0,82390.0,43581.0,114119.0,413774.0,7606.0,386063.0,121385.0,9875.0,233378.0,299326.0,42170.0,1029800.0,200342.0,278362.0,65685.0,125749.0,14296.0,16429.0,53499.0,171341.0,593.0,33657.0,254413.0,37514.0,459094.0,88770.0,92946.0,166163.0,103943.0,330869.0,50569.0,1221657.0,11927.0,0.0,0.0
2018-05-25,136910.0,12706.0,58991.0,585732.0,160127.0,203357.0,1345721.0,259278.0,183272.0,1003747.0,37271.0,27038.0,190680.0,336014.0,8888.0,228592.0,87100.0,6221.0,207873.0,154764.0,47422.0,5256730.0,73124.0,101261.0,48416.0,40076.0,24304.0,31362.0,31068.0,188184.0,0.0,51250.0,622984.0,39760.0,391076.0,84633.0,55591.0,354571.0,455372.0,132545.0,62363.0,336447.0,10814.0,0.0,0.0
2018-05-29,237141.0,29800.0,110843.0,313765.0,567257.0,692882.0,1307750.0,239443.0,261485.0,1924685.0,28560.0,42843.0,203352.0,734767.0,7642.0,243197.0,264950.0,16492.0,968920.0,1132807.0,49848.0,3890009.0,241418.0,224087.0,116118.0,125928.0,32905.0,33737.0,18614.0,501860.0,1743.0,99681.0,3535090.0,80172.0,524093.0,123718.0,114843.0,354953.0,177817.0,756809.0,66437.0,504826.0,11668.0,0.0,0.0
2018-05-30,127826.0,12732.0,58762.0,184409.0,448168.0,415619.0,664172.0,158239.0,250311.0,806406.0,23948.0,63623.0,102057.0,468163.0,11424.0,395704.0,154262.0,24513.0,391140.0,350244.0,42838.0,1810589.0,147245.0,136020.0,102950.0,77467.0,26630.0,21355.0,12412.0,707801.0,999.0,37634.0,1342825.0,59052.0,376056.0,117797.0,204152.0,428649.0,148143.0,235963.0,75581.0,396170.0,14205.0,0.0,0.0
2018-05-31,157007.0,10889.0,174298.0,414440.0,730539.0,518453.0,595482.0,219807.0,292339.0,3942659.0,39952.0,44306.0,112027.0,438933.0,7860.0,210772.0,155527.0,10656.0,485689.0,378003.0,59687.0,2337496.0,96656.0,335507.0,204955.0,95340.0,41870.0,17857.0,37455.0,143395.0,1185.0,193087.0,2647798.0,46475.0,331067.0,71126.0,169100.0,370140.0,166103.0,685157.0,59447.0,463938.0,14103.0,0.0,0.0
2018-06-01,217308.0,10817.0,82027.0,188326.0,345121.0,324559.0,509906.0,269360.0,271467.0,1199070.0,26868.0,16341.0,106076.0,298537.0,13971.0,202201.0,164306.0,14972.0,355607.0,305168.0,93801.0,1122719.0,101727.0,144638.0,200695.0,81469.0,29409.0,25200.0,14333.0,327331.0,1669.0,23021.0,1155684.0,51772.0,320103.0,114931.0,37715.0,321559.0,114409.0,375529.0,114153.0,546077.0,4032.0,0.0,0.0
