id,shares,source,sedol,name,as_of_date,currency,country,adr,price_usd,adr_price,adr_turnover,turnover_usd,exchange,adr_exchange,classification,sh_per_adr
4502 JP Equity,5431910.0,ETF,6870445,Takeda Pharmaceutical Co Ltd,2025-09-25,JPY,JAPAN,TAK US Equity,4196.0,13.56,53603860.76923077,135244533.015873,XTKS,XNYS,Large Pharma,0.5
6758 JP Equity,21020000.0,ETF,6821506,Sony Group Corp,2025-09-25,JPY,JAPAN,SONY US Equity,4295.0,27.91,109455176.3076923,355622455.5555556,XTKS,XNYS,Consumer Electronics,1.0
7203 JP Equity,32392220.0,ETF,6900643,Toyota Motor Corp,2025-09-25,JPY,JAPAN,TM US Equity,3155.0,203.89,70991594.15384616,528872712.6984127,XTKS,XNYS,Cars - Fossil Fuels,10.0
7267 JP Equity,13518000.0,ETF,6435145,Honda Motor Co Ltd,2025-09-25,JPY,JAPAN,HMC US Equity,1590.0,30.71,30621045.384615384,191546544.92063493,XTKS,XNYS,Cars - Fossil Fuels,3.0
8306 JP Equity,39184880.0,ETF,6335171,Mitsubishi UFJ Financial Group,2025-09-25,JPY,JAPAN,MUFG US Equity,2332.0,15.07,51059142.307692304,601594112.6984127,XTKS,XNYS,Diversified Banks,1.0
8316 JP Equity,12613100.0,ETF,6563024,Sumitomo Mitsui Financial Grou,2025-09-25,JPY,JAPAN,SMFG US Equity,4150.0,16.14,32671995.846153848,327993671.4285714,XTKS,XNYS,Diversified Banks,0.6
8411 JP Equity,8581116.0,ETF,6591014,Mizuho Financial Group Inc,2025-09-25,JPY,JAPAN,MFG US Equity,5120.0,6.66,16734459.353846151,296235611.1111111,XTKS,XNYS,Diversified Banks,0.2
ABI BB Equity,3378541.0,ETF,BYYHL23,Anheuser-Busch InBev SA/NV,2025-09-25,EUR,BELGIUM,BUD US Equity,54.1,61.9,149570132.0,92173792.08955224,XBRU,XNYS,Brewers,1.0
AGN NA Equity,4510469.0,ETF,BPH0Y27,Aegon Ltd,2025-09-25,EUR,NETHERLANDS,AEG US Equity,6.578,7.47,40912012.615384616,38687048.65671642,XAMS,XNYS,Life Insurance,1.0
ARGX BB Equity,209180.0,ETF,BNHKYX4,Argenx SE,2025-09-25,EUR,NETHERLANDS,ARGX US Equity,734.0,831.48,271282284.61538464,72618194.02985075,XBRU,XNGS,Biotech,1.0
ASML NA Equity,1346107.0,ETF,B929F46,ASML Holding NV,2025-09-25,EUR,NETHERLANDS,ASML US Equity,918.0,1030.14,1391861441.5384614,515147350.74626863,XAMS,XNGS,Front End Capital Equipment,1.0
AZN LN Equity,5300168.0,ETF,0989529,AstraZeneca PLC,2025-09-25,GBp,BRITAIN,AZN US Equity,12528.0,82.03,328924989.2307692,183534580.1515152,XLON,XNGS,Large Pharma,0.5
BARC LN Equity,48752408.0,ETF,3134865,Barclays PLC,2025-09-25,GBp,BRITAIN,BCS US Equity,406.3,21.11,261721327.69230768,118010425.45454544,XLON,XNYS,Diversified Banks,4.0
BATS LN Equity,7116093.0,ETF,0287580,British American Tobacco PLC,2025-09-25,GBp,BRITAIN,BTI US Equity,4050.0,52.98,277330743.0769231,158160029.3939394,XLON,XNYS,Cigarette,1.0
BBVA SM Equity,19698821.0,ETF,5501906,Banco Bilbao Vizcaya Argentari,2025-09-25,EUR,SPAIN,BBVA US Equity,17.54,20.02,28477121.384615384,126612707.46268655,XMAD,XNYS,Banks,1.0
BP/ LN Equity,54513235.0,ETF,0798059,BP PLC,2025-09-25,GBp,BRITAIN,BP US Equity,453.15,35.12,278163478.46153843,120055448.93939394,XLON,XNYS,Integrated Oils,6.0
DGE LN Equity,7573517.0,ETF,0237400,Diageo PLC,2025-09-25,GBp,BRITAIN,DEO US Equity,1787.0,93.06,135437011.69230768,93559417.72727272,XLON,XNYS,Distillers,4.0
ENI IM Equity,6982255.0,ETF,7145056,Eni SpA,2025-09-25,EUR,ITALY,E US Equity,15.91,36.32,8380562.553846153,163731417.87878788,MTAA,XNYS,Integrated Oils,2.0
FME GR Equity,748603.0,ETF,5129074,Fresenius Medical Care AG,2025-09-25,EUR,GERMANY,FMS US Equity,42.0,24.29,8022532.523076923,27149678.507462688,XETR,XNYS,Kidney Dialysis Centers,0.5
GSK LN Equity,14009343.0,ETF,BN7SWP6,GSK PLC,2025-09-25,GBp,BRITAIN,GSK US Equity,1789.5,46.82,174562801.69230768,108985795.15151516,XLON,XNYS,Large Pharma,2.0
HLN LN Equity,30714511.0,REG,BMX86B7,Haleon PLC,2025-09-25,GBp,BRITAIN,HLN US Equity,357.9,9.32,101455387.84615384,70640126.96969697,XLON,XNYS,Consumer Healthcare Products,2.0
HSBA LN Equity,59543722.0,ETF,0540528,HSBC Holdings PLC,2025-09-25,GBp,BRITAIN,HSBC US Equity,1075.0,69.85,90149289.53846154,189312092.5757576,XLON,XNYS,Diversified Banks,5.0
IHG LN Equity,504406.0,ETF,BHJYC05,InterContinental Hotels Group,2025-09-25,GBp,BRITAIN,IHG US Equity,9310.0,122.19,21286709.230769232,31608476.363636363,XLON,XNYS,Hotel & Motel (excl Casino Hotel),1.0
INGA NA Equity,10334168.0,ETF,BZ57390,ING Groep NV,2025-09-25,EUR,NETHERLANDS,ING US Equity,22.03,25.19,61909024.92307692,176487706.56716418,XAMS,XNYS,Retail Banking,1.0
LLOY LN Equity,204599157.0,ETF,0870612,Lloyds Banking Group PLC,2025-09-25,GBp,BRITAIN,LYG US Equity,88.9,4.64,37305708.76923077,94204144.54545456,XLON,XNYS,Retail Banking,4.0
NG/ LN Equity,16687767.0,ETF,BDR05C0,National Grid PLC,2025-09-25,GBp,BRITAIN,NGG US Equity,1144.5,75.14,50636747.84615385,95397278.03030305,XLON,XNYS,Electric Transmission & Dist,5.0
NOKIA FH Equity,18144063.0,ETF,5902941,Nokia Oyj,2025-09-25,EUR,FINLAND,NOK US Equity,5.952,6.81,106374817.6923077,53822358.50746269,XHEL,XNYS,Wireless Data Network Equip,1.0
NWG LN Equity,27492901.0,ETF,BM8PJY7,NatWest Group PLC,2025-09-25,GBp,BRITAIN,NWG US Equity,586.2,15.24,51972725.538461536,101350658.33333331,XLON,XNYS,Diversified Banks,2.0
PHIA NA Equity,2629652.0,ETF,5986622,Koninklijke Philips NV,2025-09-25,EUR,NETHERLANDS,PHG US Equity,24.53,28.02,23719894.153846152,39003442.53731343,XAMS,XNYS,Medical Equipment,1.0
PRU LN Equity,8875086.0,ETF,0709954,Prudential PLC,2025-09-25,GBp,HONG KONG,PUK US Equity,1069.0,28.05,22915919.384615384,47309122.27272727,XLON,XNYS,Life Insurance,2.0
PSON LN Equity,2026405.0,ETF,0677608,Pearson PLC,2025-09-25,GBp,BRITAIN,PSO US Equity,1053.0,13.68,9049874.953846157,19903154.5,XLON,XNYS,School Textbook Publishers,1.0
REL LN Equity,6287728.0,ETF,B2B0DG9,RELX PLC,2025-09-25,GBp,BRITAIN,RELX US Equity,3377.0,44.3,64747962.461538464,127315171.51515152,XLON,XNYS,Professional Services,1.0
RIO LN Equity,3863646.0,ETF,0718875,Rio Tinto PLC,2025-09-25,GBp,BRITAIN,RIO US Equity,5272.0,67.89,209105244.92307693,111876846.06060606,XLON,XNYS,Iron Ore Mining,1.0
RTO LN Equity,8624842.0,ETF,B082RF1,Rentokil Initial PLC,2025-09-25,GBp,BRITAIN,RTO US Equity,420.5,27.41,19284123.01538461,17203940.40909091,XLON,XNYS,Pest Control Services,5.0
RYA ID Equity,2892232.0,ETF,BYTBXV3,Ryanair Holdings PLC,2025-09-25,EUR,IRELAND,RYAAY US Equity,27.08,64.6,75944499.53846154,52637328.20895522,XDUB,XNGS,Mainline Airline - LCC,2.0
SAN FP Equity,3778501.0,ETF,5671735,Sanofi SA,2025-09-25,EUR,FRANCE,SNY US Equity,86.31,49.11,122513366.6153846,177892651.3432836,XPAR,XNGS,Large Pharma,0.5
SAN SM Equity,50877812.0,ETF,5705946,Banco Santander SA,2025-09-25,EUR,SPAIN,SAN US Equity,8.806,10.01,45654743.07692308,206904934.3283582,XMAD,XNYS,Diversified Banks,1.0
SAP GR Equity,3569157.0,ETF,4846288,SAP SE,2025-09-25,EUR,GERMANY,SAP US Equity,225.6,259.64,462838464.61538464,406390225.3731343,XETR,XNYS,Enterprise Software,1.0
SHEL LN Equity,20115477.0,ETF,BP6MXD8,Shell PLC,2025-09-25,GBp,BRITAIN,SHEL US Equity,2838.0,73.74,303429155.38461536,181921290.45454547,XLON,XNYS,Integrated Oils,2.0
SN/ LN Equity,2834126.0,ETF,0922320,Smith & Nephew PLC,2025-09-25,GBp,BRITAIN,SNN US Equity,1417.5,37.02,30557337.307692308,37682922.98484848,XLON,XNYS,Reconstructive Implants,2.0
TEN IM Equity,1395246.0,ETF,BMHVLR3,Tenaris SA,2025-09-25,EUR,LUXEMBOURG,TS US Equity,17.355,39.81,57476616.15384615,33498480.151515152,MTAA,XNYS,Pipe & Tubular,2.0
TTE FP Equity,7017415.0,ETF,B15C557,TotalEnergies SE,2025-09-25,EUR,FRANCE,TTE US Equity,53.6,61.25,84378835.6923077,217756271.64179105,XPAR,XNYS,Integrated Oils,1.0
ULVR LN Equity,8369496.0,ETF,B10RZP7,Unilever PLC,2025-09-25,GBp,BRITAIN,UL US Equity,4632.0,60.81,136283161.07692307,129734524.54545456,XLON,XNYS,Personal Care Products,1.0
