DateTime,AEG,ARGX,ASML,AZN,BBVA,BCS,BP,BTI,BUD,DB,DEO,E,EQNR,ERIC,FMS,GSK,HSBC,IHG,ING,LYG,NGG,NOK,NVO,NVS,NWG,PHG,PSO,PUK,RELX,RIO,RTO,RYAAY,SAN,SAP,SHEL,SNN,SNY,TS,TTE,UBS,UL,VOD,WPP,GMAB,HLN
2018-05-16,822411.0,119605.0,385828.0,2862179.0,1986537.0,1862468.0,4279041.0,1106892.0,1229896.0,5716233.0,338420.0,265048.0,1044651.0,2856613.0,111640.0,1813748.0,1121783.0,60145.0,1722416.0,1858108.0,259254.0,7543463.0,843024.0,762112.0,975892.0,513176.0,262954.0,151854.0,351660.0,2244710.0,10213.0,169297.0,8315592.0,503033.0,2219425.0,587286.0,606525.0,2577077.0,1024797.0,1567169.0,989827.0,5929862.0,67923.0,0.0,0.0
2018-05-17,924738.0,62257.0,439906.0,4292951.0,982291.0,2903698.0,5711811.0,2442325.0,1408467.0,2327130.0,221459.0,722772.0,948210.0,3141636.0,77164.0,1683436.0,899912.0,70079.0,3230789.0,2598431.0,818299.0,7917429.0,425066.0,1387676.0,615952.0,648273.0,337458.0,91420.0,686124.0,1167563.0,5942.0,236965.0,2928944.0,406163.0,2888835.0,521266.0,738231.0,2836967.0,800466.0,1517116.0,657124.0,4342179.0,117148.0,0.0,0.0
2018-05-18,962822.0,133016.0,788395.0,5326909.0,1226468.0,1582946.0,3783448.0,1489211.0,1417686.0,4385702.0,185452.0,197665.0,902220.0,2762020.0,35388.0,2625238.0,983209.0,107226.0,1795277.0,2521639.0,858719.0,9011216.0,782547.0,1103860.0,452194.0,685925.0,411401.0,67351.0,211463.0,1722373.0,7993.0,140048.0,5716525.0,493795.0,3359423.0,781818.0,827460.0,1873129.0,823168.0,1275302.0,718962.0,4118163.0,79548.0,0.0,0.0
2018-05-21,981850.0,98630.0,1009678.0,5522586.0,1390114.0,892971.0,5060202.0,1266889.0,1204346.0,2710023.0,175949.0,262735.0,687334.0,1335216.0,28485.0,1497801.0,700025.0,78705.0,1279291.0,1910889.0,411960.0,5905756.0,532485.0,861003.0,392551.0,585117.0,166799.0,93321.0,178117.0,1915029.0,3278.0,231759.0,4435512.0,306106.0,2908528.0,365152.0,823396.0,1180988.0,1029886.0,1167324.0,391471.0,2586638.0,120163.0,0.0,0.0
2018-05-22,1679184.0,136397.0,373873.0,5745500.0,1858545.0,2109811.0,6876145.0,2676008.0,1756552.0,4272971.0,227815.0,192584.0,825314.0,4080621.0,87950.0,2276305.0,1221753.0,51964.0,2793177.0,1761361.0,304276.0,8059443.0,487019.0,651395.0,909688.0,432348.0,267366.0,178114.0,89943.0,3084028.0,10211.0,310551.0,6021134.0,313368.0,2494628.0,614032.0,629463.0,1145055.0,1166479.0,1712714.0,397315.0,4918278.0,99764.0,0.0,0.0
2018-05-23,1918788.0,73336.0,524708.0,3615701.0,4002541.0,1669595.0,6280154.0,1186835.0,2096003.0,5313752.0,230448.0,195399.0,815639.0,4285017.0,66789.0,2597079.0,1279484.0,56621.0,2668424.0,2475376.0,383001.0,11077016.0,950491.0,700512.0,640294.0,858654.0,228497.0,168941.0,124213.0,2313267.0,11788.0,283692.0,7902673.0,563440.0,3658944.0,469758.0,1013456.0,1148538.0,1633701.0,1694219.0,526009.0,5182807.0,144631.0,0.0,0.0
2018-05-24,1185013.0,72034.0,238895.0,3182973.0,3161280.0,2054345.0,6709785.0,1596162.0,1495468.0,10105368.0,770396.0,152357.0,1180320.0,3331421.0,52386.0,1968382.0,1117532.0,64159.0,2473589.0,3499907.0,243314.0,8488648.0,876229.0,942349.0,734365.0,688462.0,233648.0,147193.0,184282.0,1239731.0,6789.0,288968.0,4282111.0,271295.0,2858778.0,523257.0,623246.0,1604980.0,917965.0,1693421.0,401429.0,5384666.0,126593.0,0.0,0.0
2018-05-25,615659.0,49258.0,241708.0,3825634.0,2982604.0,2340065.0,8397580.0,1755868.0,1324519.0,6013354.0,248735.0,125552.0,1215147.0,2091634.0,51303.0,1685837.0,849491.0,37624.0,1829572.0,4579763.0,276818.0,18557302.0,596490.0,765765.0,658732.0,527016.0,203757.0,240378.0,273642.0,978992.0,11161.0,243915.0,8098961.0,653416.0,3514890.0,454650.0,507827.0,2364726.0,1929233.0,1335051.0,487657.0,2579054.0,74042.0,0.0,0.0
2018-05-29,1668604.0,61400.0,539409.0,2330436.0,5285894.0,3932213.0,6990618.0,1246744.0,2646923.0,14631958.0,238835.0,271672.0,1100978.0,3393051.0,91954.0,1903416.0,1740396.0,72030.0,7229095.0,6185541.0,338138.0,31370573.0,1841037.0,1053035.0,1037201.0,1212440.0,239132.0,210086.0,149308.0,1726747.0,11224.0,295187.0,26851403.0,788697.0,3199024.0,620464.0,763061.0,2884048.0,1523004.0,3925610.0,614234.0,3426284.0,93524.0,0.0,0.0
2018-05-30,1661634.0,56150.0,500172.0,2136292.0,4988709.0,2503745.0,5319709.0,1052982.0,1621738.0,9709274.0,188371.0,344174.0,917004.0,1993599.0,81539.0,2160509.0,1370112.0,70054.0,4165383.0,4253587.0,337937.0,13257843.0,1342264.0,1016672.0,967673.0,733918.0,297036.0,176972.0,83367.0,2187112.0,5253.0,210137.0,11564709.0,406219.0,3627482.0,491236.0,862961.0,2531757.0,1315511.0,2126642.0,698416.0,3220465.0,80499.0,0.0,0.0
2018-05-31,1357085.0,37992.0,698109.0,3362206.0,5534054.0,3650510.0,5044664.0,2081724.0,1902164.0,28088718.0,260995.0,249019.0,1287164.0,1815034.0,71860.0,1948433.0,1296352.0,72966.0,5055871.0,4125578.0,554103.0,19625058.0,842382.0,1970812.0,1075687.0,953814.0,273959.0,160425.0,185224.0,1307065.0,8113.0,394123.0,15671925.0,297801.0,2699221.0,457416.0,1003138.0,2741983.0,1158300.0,4743120.0,747170.0,3173124.0,76522.0,0.0,0.0
2018-06-01,1142356.0,32438.0,416548.0,2432252.0,4843987.0,3261470.0,4415777.0,1631854.0,1853363.0,10118322.0,202137.0,144525.0,619675.0,1271022.0,65925.0,1286420.0,1098892.0,131717.0,4030361.0,2702142.0,542055.0,12290695.0,638642.0,1323660.0,1205323.0,827920.0,156476.0,147896.0,176130.0,1336191.0,17882.0,256445.0,14435070.0,410202.0,2879721.0,387590.0,582536.0,1753581.0,1018963.0,3491536.0,533852.0,2807490.0,71718.0,0.0,0.0
2018-06-04,1031856.0,51310.0,374301.0,1861351.0,3839841.0,1816590.0,4541635.0,971552.0,2122676.0,5462283.0,241904.0,85818.0,835747.0,2494171.0,61735.0,1491680.0,803480.0,56479.0,2459350.0,2285859.0,417699.0,11346226.0,1122925.0,1381374.0,4802410.0,722687.0,126707.0,111836.0,86870.0,973404.0,6472.0,285167.0,6673020.0,440450.0,2795512.0,327521.0,600174.0,1376148.0,1488831.0,1477691.0,393363.0,3610826.0,73652.0,0.0,0.0
2018-06-05,877690.0,41724.0,480826.0,1354993.0,1899682.0,2287851.0,4686405.0,1817049.0,1834721.0,5439084.0,320224.0,95824.0,541073.0,2982194.0,119720.0,1774354.0,736864.0,56679.0,2519676.0,2618426.0,534399.0,12025275.0,867057.0,1138754.0,2527980.0,592761.0,212732.0,97119.0,133869.0,1581860.0,10358.0,525292.0,6628073.0,444892.0,4158491.0,493252.0,1148609.0,1251044.0,893257.0,2453947.0,696817.0,2715969.0,356693.0,0.0,0.0
2018-06-06,1510810.0,77785.0,469693.0,2457275.0,4057918.0,1703531.0,4728991.0,1407437.0,1644402.0,6634021.0,206702.0,118895.0,987196.0,2919594.0,68180.0,1654352.0,1957827.0,69234.0,2200013.0,3366374.0,857754.0,11685236.0,1651370.0,1103843.0,1024272.0,607045.0,185233.0,101861.0,139055.0,3583379.0,8209.0,167929.0,7726994.0,742203.0,4862970.0,418224.0,1851343.0,1274285.0,1473993.0,1650543.0,681214.0,6129417.0,185110.0,0.0,0.0
2018-06-07,1096301.0,101403.0,784748.0,1814262.0,4209196.0,1618823.0,6560295.0,2282950.0,2985930.0,11469337.0,223194.0,125521.0,1086809.0,2473311.0,63160.0,1234582.0,776957.0,86677.0,2380764.0,3066387.0,562416.0,10202221.0,1563596.0,1057957.0,1227073.0,398081.0,269377.0,139757.0,544180.0,2365848.0,13008.0,332731.0,7797985.0,511779.0,6423220.0,406952.0,1086265.0,1848011.0,3387051.0,1621985.0,743101.0,6669091.0,83851.0,0.0,0.0
2018-06-08,589552.0,71082.0,659834.0,2285782.0,1770838.0,1759417.0,3681958.0,1779937.0,922407.0,6015796.0,232115.0,353192.0,595627.0,1450440.0,57100.0,1592712.0,648833.0,73999.0,2001013.0,3684832.0,271530.0,6804042.0,2676347.0,1081323.0,702951.0,1209809.0,273381.0,131017.0,815674.0,1490785.0,17411.0,448018.0,5363962.0,499428.0,2755547.0,523583.0,1272548.0,1118335.0,1051441.0,1195049.0,583097.0,3161949.0,82877.0,0.0,0.0
