,dec_date,ex_date,rec_date,pay_date,dvd_amt,dvd_freq,dvd_type
NWG LN Equity,2022-08-22,2022-08-30,2022-08-26,2022-08-30,0.928571,,Stock Split
NWG LN Equity,2012-04-24,2012-06-06,2012-06-01,2012-06-06,0.1,,Stock Split
PHIA NA Equity,2000-05-29,2000-08-01,2000-07-31,2000-08-01,0.97,,Stock Split
PHIA NA Equity,2000-03-30,2000-04-17,2000-04-14,2000-04-17,4.0,,Stock Split
PHIA NA Equity,1999-05-07,1999-05-31,1999-05-28,1999-05-31,0.92,,Stock Split
REL LN Equity,2007-12-13,2008-01-07,2008-01-04,2008-01-07,0.865672,,Stock Split
REL LN Equity,1997-04-29,1997-05-06,1997-05-02,1997-05-06,2.0,,Stock Split
RTO LN Equity,1997-05-16,1997-05-19,1997-05-19,1997-05-19,2.0,,Stock Split
RTO LN Equity,1992-05-01,1992-05-11,1992-05-08,1992-05-08,2.5,,Stock Split
RTO LN Equity,1990-05-01,1990-05-14,1990-05-13,1990-05-13,2.0,,Stock Split
RYA ID Equity,2015-09-28,2015-10-28,2015-10-27,2015-10-28,0.975,,Stock Split
RYA ID Equity,2006-11-23,2007-02-26,2007-02-23,2007-02-26,2.0,,Stock Split
RYA ID Equity,2001-12-03,2001-12-07,2001-12-06,2001-12-07,2.0,,Stock Split
RYA ID Equity,2000-02-08,2000-02-28,2000-02-25,2000-02-28,2.0,,Stock Split
SAN FP Equity,1999-05-25,1999-05-25,1999-05-25,,4.0,,Stock Split
SAN FP Equity,1994-09-19,1994-09-27,1994-09-27,1994-09-27,4.0,,Stock Split
SAN SM Equity,1999-06-04,1999-06-14,1999-06-14,1999-06-14,2.0,,Stock Split
SAN SM Equity,1998-06-11,1998-06-29,1998-06-29,1998-06-29,2.0,,Stock Split
SAN SM Equity,1997-03-22,1997-06-09,1997-06-09,1997-06-09,3.0,,Stock Split
SAP GR Equity,2000-05-05,2000-06-26,2000-06-23,2000-06-26,3.0,,Stock Split
SAP GR Equity,1995-06-21,1995-08-01,1995-08-01,1995-08-01,10.0,,Stock Split
SN/ LN Equity,2000-06-28,2000-08-07,2000-08-04,2000-08-07,0.818182,,Stock Split
TTE FP Equity,2006-02-17,2006-05-18,2006-05-17,2006-05-18,4.0,,Stock Split
TTE FP Equity,1992-01-27,1992-02-10,1992-02-07,1992-02-07,4.0,,Stock Split
UBSG SW Equity,2006-02-14,2006-07-10,2006-07-07,2006-07-10,2.0,,Stock Split
