id,shares,source,sedol,name,as_of_date,currency,country,adr,adr_price,adr_turnover,turnover_usd,exchange,ratio,price_usd
UNI IM Equity,90074.0,ETF,B7SF135,Unipol Assicurazioni SpA,2025-09-25,EUR,ITALY,UFGSY US Equity,10.45,14200.537777777778,24797208.606060605,MTAA,0.0005726667869506518,20.62849
UNITDSPR IN Equity,46793.0,ETF,BYWFSB7,United Spirits Ltd,2025-09-25,INR,INDIA,,,,18367850.753846154,XNSE,,14.84747
UNP US Equity,150137.0,ETF,2914734,Union Pacific Corp,2025-09-25,USD,UNITED STATES,UNP US Equity,,,1033799224.6153846,XNYS,,232.0
UNTR IJ Equity,455306.0,ETF,6230845,United Tractors Tbk PT,2025-09-25,IDR,INDONESIA,PUTKY US Equity,32.64,283707.06753846153,5531186.9375,XIDX,0.05129225801699123,1.58865
UOB SP Equity,307200.0,ETF,6916781,United Overseas Bank Ltd,2025-09-25,SGD,SINGAPORE,UOVEY US Equity,53.327,2858004.969230769,85088531.64179105,XSES,0.03358860370587317,26.55332
UPLL IN Equity,147310.0,ETF,B0L0W35,UPL Ltd,2025-09-25,INR,INDIA,,,,22067100.8,XNSE,,7.5398
UPM FH Equity,133139.0,ETF,5051252,UPM-Kymmene Oyj,2025-09-25,EUR,FINLAND,UPMMY US Equity,27.38,3183471.470769231,29255863.71641791,XHEL,0.10881481748845855,26.90165
UPS US Equity,182830.0,ETF,2517382,United Parcel Service Inc,2025-09-25,USD,UNITED STATES,UPS US Equity,,,703144984.6153846,XNYS,,82.58
URI US Equity,16372.0,ETF,2134781,United Rentals Inc,2025-09-25,USD,UNITED STATES,URI US Equity,,,498474507.6923077,XNYS,,931.25
URW FP Equity,32451.0,ETF,BF2PQ09,Unibail-Rodamco-Westfield,2025-09-25,EUR,FRANCE,URMCY US Equity,,,35363424.62686567,XPAR,,102.28464
USB US Equity,390480.0,ETF,2736035,US Bancorp,2025-09-25,USD,UNITED STATES,USB US Equity,,,489477232.3076923,XNYS,,49.03
UTCEM IN Equity,26895.0,ETF,B01GZF6,UltraTech Cement Ltd,2025-09-25,INR,INDIA,,,,38310760.307692304,XNSE,,136.81171
UTHR US Equity,10725.0,ETF,2430412,United Therapeutics Corp,2025-09-25,USD,UNITED STATES,UTHR US Equity,,,246919800.46153846,XNGS,,425.42
UU/ LN Equity,121136.0,ETF,B39J2M4,United Utilities Group PLC,2025-09-25,GBp,BRITAIN,UUGRY US Equity,30.34,1022764.6569230768,17358758.37878788,XLON,0.058919228818397444,14.90633
V US Equity,431904.0,ETF,B2PZN04,Visa Inc,2025-09-25,USD,UNITED STATES,V US Equity,,,2089580584.6153846,XNYS,,334.93
VACN SW Equity,6944.0,ETF,BYZWMR9,VAT Group AG,2025-09-25,CHF,SWITZERLAND,VACNY US Equity,39.13,1238732.3553846155,39422652.72727273,XSWX,0.031421841750584587,424.20079
VAL SJ Equity,58578.0,ETF,6761000,Valterra Platinum Ltd,2025-09-25,ZAr,SOUTH AFRICA,ANGPY US Equity,12.07,4820390.8,181027335.0,XJSE,0.026627971957936626,67.80986
VALE3 BZ Equity,894854.0,ETF,2196286,Vale SA,2025-09-25,BRL,BRAZIL,VALE US Equity,10.835,383784523.0769231,210056868.9552239,BVMF,1.8270505743791283,10.89116
VBBR3 BZ Equity,263825.0,ETF,BPBLV81,Vibra Energia SA,2025-09-25,BRL,BRAZIL,VBREY US Equity,9.135,132559.55692307695,42001005.2238806,BVMF,0.0031561043888470386,4.49978
VBL IN Equity,330166.0,ETF,BQB80M6,Varun Beverages Ltd,2025-09-25,INR,INDIA,,,,40919862.461538464,XNSE,,5.0917
VCX AU Equity,1048724.0,ETF,BY7QXS7,Vicinity Ltd,2025-09-25,AUD,AUSTRALIA,,,,18762673.05970149,XASX,,1.63575
VEDL IN Equity,332007.0,ETF,6136040,Vedanta Ltd,2025-09-25,INR,INDIA,,,,46701544.307692304,XNSE,,5.20214
VEEV US Equity,39009.0,ETF,BFH3N85,Veeva Systems Inc,2025-09-25,USD,UNITED STATES,VEEV US Equity,,,362604289.2307692,XNYS,,279.93
VER AV Equity,18410.0,ETF,4661607,Verbund AG,2025-09-25,EUR,AUSTRIA,OEZVY US Equity,14.93,4636.588593750001,8399421.014925374,XWBO,0.0005520128810677548,71.48487
VICI US Equity,266970.0,ETF,BYWH073,VICI Properties Inc,2025-09-25,USD,UNITED STATES,VICI US Equity,,,242514791.53846154,XNYS,,32.04
VIE FP Equity,169939.0,ETF,4031879,Veolia Environnement SA,2025-09-25,EUR,FRANCE,VEOEY US Equity,16.92,2201529.1969230766,54692694.47761194,XPAR,0.0402527104936155,33.53078
VIPS US Equity,90092.0,ETF,B3N0H17,Vipshop Holdings Ltd,2025-09-25,USD,CHINA,VIPS US Equity,,,43075790.92307692,XNYS,,18.5
VIVT3 BZ Equity,247077.0,ETF,B6XFBX3,Telefonica Brasil SA,2025-09-25,BRL,BRAZIL,VIV US Equity,12.52,12248195.476923076,31132900.597014926,BVMF,0.3934164578965525,6.1837
VLO US Equity,80553.0,ETF,2041364,Valero Energy Corp,2025-09-25,USD,UNITED STATES,VLO US Equity,,,444350326.15384614,XNYS,,174.42
VLTO US Equity,61025.0,ETF,BPGMZQ5,Veralto Corp,2025-09-25,USD,UNITED STATES,VLTO US Equity,,,128235843.53846154,XNYS,,104.49
VMC US Equity,32617.0,ETF,2931205,Vulcan Materials Co,2025-09-25,USD,UNITED STATES,VMC US Equity,,,249884462.46153846,XNYS,,294.76
VMM IN Equity,532622.0,ETF,BSSDKB7,Vishal Mega Mart Ltd,2025-09-25,INR,INDIA,,,,40783599.83076923,XNSE,,1.64544
VNA GR Equity,182367.0,ETF,BBJPFY1,Vonovia SE,2025-09-25,EUR,GERMANY,VONOY US Equity,15.335,1078979.6830769232,69716170.74626866,XETR,0.015476749103215372,30.13452
VOD LN Equity,5540708.0,ETF,BH4HKS3,Vodafone Group PLC,2025-09-25,GBp,BRITAIN,VOD US Equity,11.465,72500285.07692307,52115148.484848484,XLON,1.391155684762199,1.13248
VOD SJ Equity,119982.0,ETF,B65B4D0,Vodacom Group Ltd,2025-09-25,ZAr,SOUTH AFRICA,VDMCY US Equity,7.715,95696.27261538462,10618077.696969697,XJSE,0.009012579804600174,7.50966
VOLT IN Equity,60710.0,ETF,B1FCQX2,Voltas Ltd,2025-09-25,INR,INDIA,,,,18984130.0,XNSE,,15.46499
VOLVB SS Equity,390056.0,ETF,B1QH830,Volvo AB,2025-09-25,SEK,SWEDEN,VLVLY US Equity,28.738,3212401.3076923075,75409982.53731343,XSTO,0.04259915199029236,28.23604
VOW3 GR Equity,53073.0,ETF,5497168,Volkswagen AG,2025-09-25,EUR,GERMANY,VWAPY US Equity,10.682,1080948.8261538465,121329319.10447761,XETR,0.00890921365200305,107.84004
VRSK US Equity,36088.0,ETF,B4P9W92,Verisk Analytics Inc,2025-09-25,USD,UNITED STATES,VRSK US Equity,,,313383690.7692308,XNGS,,244.06
VRSN US Equity,21421.0,ETF,2142922,VeriSign Inc,2025-09-25,USD,UNITED STATES,VRSN US Equity,,,235488253.84615386,XNGS,,283.69
VRT US Equity,92011.0,ETF,BL3LWS8,Vertiv Holdings Co,2025-09-25,USD,UNITED STATES,VRT US Equity,,,968478503.0769231,XNYS,,139.77
VRTX US Equity,64860.0,ETF,2931034,Vertex Pharmaceuticals Inc,2025-09-25,USD,UNITED STATES,VRTX US Equity,,,712621618.4615384,XNGS,,381.87
VST US Equity,87283.0,ETF,BZ8VJQ8,Vistra Corp,2025-09-25,USD,UNITED STATES,VST US Equity,,,926955627.6923077,XNYS,,201.62
VTR US Equity,113549.0,ETF,2927925,Ventas Inc,2025-09-25,USD,UNITED STATES,VTR US Equity,,,188466204.0,XNYS,,68.18
